Name,Position,Duration,Game,Match Date,Third Umpire,Instant Replay Official,Search Event,Tournament,Camera Angle,Stage,Umpire 1,Umpire 2,Year,Team,Chukka Length,Club,Chukka,Set Play,Throw-in Outcome,Player,Goal,Location,General Field Area,Shot At Goal,Shot At Goal Outcome,Foul,Foul Outcome,Foul Type,Umpire Focal,Umpire Trailing,Knock-in Player 2,Penalties,Penalty Outcome,Highlight Reel,Assist Outcome,Assist,Collision,Penalty Block
Game Length,499500,5645633,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Team,Game Length,International Polo Club,,,,,,,,,,,,,,,,,,,,,,
Throw-in,499500,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,Throw-in,Santa Clara win throw-in,Luis Escobar,,,,,,,,,,,,,,,,,,
Chukka Length,502000,665883,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Team,Chukka Length,International Polo Club,Chukka 1,,,,,,,,,,,,,,,,,,,,,
Goal Santa Clara,507433,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,,,Luis Escobar,Goal Santa Clara,75;8,Attacking 30,,,,,,,,,,,,,,,
Shot At Goal,507433,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,,,Luis Escobar,,75;15,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,
Throw-in (1),574066,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 1,Throw-in,Postage Stamp Farm win throw-in,Peke Gonzalez,,,,,,,,,,,,,,,,,,
Foul,589366,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 1,,,Lerin Zubiaurre,,81;129,Attacking Half,,,Foul,Penalty 5,Dangerous Riding,35;121,99;115,,,,,,,,
Foul Received,589366,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,,,Nachi Du Plessis,,64;172,Defending Half,,,Foul Received,Penalty 5,Dangerous Riding,,,,,,,,,,
Shot At Goal (1),656900,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,,,Henry Porter,,89;26,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Santa Clara (1),658833,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,,,Henry Porter,Goal Santa Clara,72;6,Attacking 30,,,,,,,,,,,,,,,
Penalty 5,666233,30000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,Penalty 5,,Nachi Du Plessis,,,,,,,,,,,,,,,,,,
Throw-in (2),716733,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,Throw-in,Santa Clara win throw-in,Matias Magrini,,,,,,,,,,,,,,,,,,
Shot At Goal (2),800400,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 1,,,Peke Gonzalez,,132;97,Attacking Half,Shot At Goal,Wide,,,,,,,,,,,,,
Non Call,800500,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Team,,International Polo Club,Chukka 1,,,,,,,,,Non Call,,Right of Way,,,,,,,,,,
Knock In,856700,40000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,Knock In,,Nachi Du Plessis,,,,,,,,,,,Henry Porter,,,,,,,
Foul (1),877300,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,,,Henry Porter,,140;30,Attacking 30,,,Foul,Penalty 5,Right of Way,139;80,102;56,,,,,,,,
Foul Received (1),877300,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 1,,,Mariano Aguerre,,9;266,Defending 60,,,Foul Received,Penalty 5,Right of Way,,,,,,,,,,
Penalty 5 (1),911933,30000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 1,Penalty 5,,Peke Gonzalez,,,,,,,,,,,,,,,,,,
Foul (2),919100,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,,,Luis Escobar,,137;65,Attacking 60,,,Foul,Penalty 5B,Dangerous Riding,135;62,122;108,,,,,,,,
Foul Received (2),919100,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 1,,,Mariano Aguerre,,8;262,Defending 60,,,Foul Received,Penalty 5B,Dangerous Riding,,,,,,,,,,
Penalty 5b,999989,30000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 1,Penalty 5b,,Peke Gonzalez,,,,,,,,,,,,,,,,,,
Foul (3),1011800,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 1,,,Henry Porter,,66;276,Defending 30,,,Foul,Penalty 30 yards,Crossing,107;244,72;199,,,,,,,,
Foul Received (3),1011800,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 1,,,Peke Gonzalez,,82;20,Attacking 30,,,Foul Received,Penalty 30 yards,Crossing,,,,,,,,,,
