Name,Position,Duration,Chukka,Player,Team,Set Play,Throw-in Outcome,Camera Angle,Club,Game,Instant Replay Official,Match Date,Search Event,Stage,Third Umpire,Tournament,Umpire 1,Umpire 2,Year,Chukka Length,Foul,Foul Outcome,Foul Type,Location,General Field Area,Umpire Focal,Umpire Trailing,Shot At Goal,Shot At Goal Outcome,Goal,Penalties,Penalty Outcome,Penalty Block,Assist,Assist Outcome,Knock-in Player 2,Highlight Reel
Throw-in,423766,20000,Chukka 1,Santiago Gomez Romero,La Indiana,Throw-in,La Indiana win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Game Length,427233,5874666,,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,Game Length,,,,,,,,,,,,,,,,,
Chukka Length,428200,760533,Chukka 1,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,Chukka Length,,,,,,,,,,,,,,,,,
Foul,435000,25000,Chukka 1,Tomas Collingwood,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul,Penalty 60 yards,Right of Way,121;213,Defending Half,123;199,85;245,,,,,,,,,,
Foul Received,435000,25000,Chukka 1,Polito Pieres,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul Received,Penalty 60 yards,Right of Way,25;84,Attacking Half,,,,,,,,,,,,
Shot At Goal,497100,35000,Chukka 1,Santiago Gomez Romero,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,55;15,Attacking 30,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana,502866,35000,Chukka 1,Santiago Gomez Romero,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,78;3,Attacking 30,,,,,Goal La Indiana,,,,,,,
Penalty 60 yards,513233,15000,Chukka 1,Polito Pieres,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,Penalty 60 yards,Blocked,,,,,
Penalty Block,519833,10000,Chukka 1,Costi Caset,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,Penalty Block,,,,
Throw-in (1),558100,20000,Chukka 1,Jeff Hall,La Indiana,Throw-in,La Indiana win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Shot At Goal (1),564700,35000,Chukka 1,Jared Zenni,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,81;56,Attacking 60,,,Shot At Goal,Goal,,,,,,,,
Goal Daily Racing Form,567833,35000,Chukka 1,Jared Zenni,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,73;6,Attacking 30,,,,,Goal Daily Racing Form,,,,,,,
Assist,577000,25000,Chukka 1,Costi Caset,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,Costi Caset,Successful,,
Shot At Goal (2),605033,35000,Chukka 1,Costi Caset,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,81;59,Attacking 60,,,Shot At Goal,Short,,,,,,,,
Throw-in (2),620566,20000,Chukka 1,Tomas Collingwood,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Foul (1),658566,25000,Chukka 1,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul,Penalty 60 yards,Dangerous Riding,96;162,Defending Half,32;122,61;183,,,,,,,,,,
Foul Received (1),658566,25000,Chukka 1,Jared Zenni,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul Received,Penalty 60 yards,Dangerous Riding,51;136,Attacking Half,,,,,,,,,,,,
Penalty 60 yards (1),728697,15000,Chukka 1,Agustin Obregon,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,Penalty 60 yards,Blocked,,,,,
Penalty Block (1),739933,10000,Chukka 1,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,Penalty Block,,,,
Safety 60,781091,15000,Chukka 1,Agustin Obregon,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,Safety 60,Blocked,,,,,
Penalty Block (2),789666,10000,Chukka 1,Michael Bickford,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,Penalty Block,,,,
Shot At Goal (3),802333,35000,Chukka 1,Michael Bickford,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,44;8,Attacking 30,,,Shot At Goal,Wide,,,,,,,,
